#i cr sl tb dcc spigot uhtr_fib fib_ch subdet RM rm_fib fib_ch
4E281440 34 11 u 0 0 2 0 CRF 5 2 0
4E281441 34 11 u 0 0 2 1 CRF 5 2 1
4E281442 34 11 u 0 0 2 2 CRF 5 2 2
4E281460 34 11 u 0 0 3 0 CRF 5 3 0
4E281461 34 11 u 0 0 3 1 CRF 5 3 1
4E281462 34 11 u 0 0 3 2 CRF 5 3 2
4E281480 34 10 u 0 0 0 0 CRF 5 4 0
4E281481 34 10 u 0 0 0 1 CRF 5 4 1
4E281482 34 10 u 0 0 0 2 CRF 5 4 2
4E2814A0 34 10 u 0 0 12 0 CRF 5 5 0
4E2814A1 34 10 u 0 0 12 1 CRF 5 5 1
4E2814A2 34 10 u 0 0 12 2 CRF 5 5 2
4E2814C0 34 10 u 0 0 13 0 CRF 5 6 0
4E2814C1 34 10 u 0 0 13 1 CRF 5 6 1
4E2814C2 34 10 u 0 0 13 2 CRF 5 6 2
4E2814E0 34 10 u 0 0 14 0 CRF 5 7 0
4E2814E1 34 10 u 0 0 14 1 CRF 5 7 1
4E2814E2 34 10 u 0 0 14 2 CRF 5 7 2
4E281840 34 11 u 0 0 4 0 CRF 6 2 0
4E281841 34 11 u 0 0 4 1 CRF 6 2 1
4E281842 34 11 u 0 0 4 2 CRF 6 2 2
4E281860 34 11 u 0 0 5 0 CRF 6 3 0
4E281861 34 11 u 0 0 5 1 CRF 6 3 1
4E281862 34 11 u 0 0 5 2 CRF 6 3 2
4E281880 34 10 u 0 0 1 0 CRF 6 4 0
4E281881 34 10 u 0 0 1 1 CRF 6 4 1
4E281882 34 10 u 0 0 1 2 CRF 6 4 2
4E2818A0 34 10 u 0 0 15 0 CRF 6 5 0
4E2818A1 34 10 u 0 0 15 1 CRF 6 5 1
4E2818A2 34 10 u 0 0 15 2 CRF 6 5 2
4E2818C0 34 10 u 0 0 16 0 CRF 6 6 0
4E2818C1 34 10 u 0 0 16 1 CRF 6 6 1
4E2818C2 34 10 u 0 0 16 2 CRF 6 6 2
4E2818E0 34 10 u 0 0 17 0 CRF 6 7 0
4E2818E1 34 10 u 0 0 17 1 CRF 6 7 1
4E2818E2 34 10 u 0 0 17 2 CRF 6 7 2
4E281C40 34 11 u 0 0 6 0 CRF 7 2 0
4E281C41 34 11 u 0 0 6 1 CRF 7 2 1
4E281C42 34 11 u 0 0 6 2 CRF 7 2 2
4E281C60 34 11 u 0 0 7 0 CRF 7 3 0
4E281C61 34 11 u 0 0 7 1 CRF 7 3 1
4E281C62 34 11 u 0 0 7 2 CRF 7 3 2
4E281C80 34 10 u 0 0 2 0 CRF 7 4 0
4E281C81 34 10 u 0 0 2 1 CRF 7 4 1
4E281C82 34 10 u 0 0 2 2 CRF 7 4 2
4E281CA0 34 10 u 0 0 18 0 CRF 7 5 0
4E281CA1 34 10 u 0 0 18 1 CRF 7 5 1
4E281CA2 34 10 u 0 0 18 2 CRF 7 5 2
4E281CC0 34 10 u 0 0 19 0 CRF 7 6 0
4E281CC1 34 10 u 0 0 19 1 CRF 7 6 1
4E281CC2 34 10 u 0 0 19 2 CRF 7 6 2
4E281CE0 34 10 u 0 0 20 0 CRF 7 7 0
4E281CE1 34 10 u 0 0 20 1 CRF 7 7 1
4E281CE2 34 10 u 0 0 20 2 CRF 7 7 2
4E282040 34 11 u 0 0 8 0 CRF 8 2 0
4E282041 34 11 u 0 0 8 1 CRF 8 2 1
4E282042 34 11 u 0 0 8 2 CRF 8 2 2
4E282060 34 11 u 0 0 9 0 CRF 8 3 0
4E282061 34 11 u 0 0 9 1 CRF 8 3 1
4E282062 34 11 u 0 0 9 2 CRF 8 3 2
4E282080 34 10 u 0 0 3 0 CRF 8 4 0
4E282081 34 10 u 0 0 3 1 CRF 8 4 1
4E282082 34 10 u 0 0 3 2 CRF 8 4 2
4E2820A0 34 10 u 0 0 21 0 CRF 8 5 0
4E2820A1 34 10 u 0 0 21 1 CRF 8 5 1
4E2820A2 34 10 u 0 0 21 2 CRF 8 5 2
4E2820C0 34 10 u 0 0 22 0 CRF 8 6 0
4E2820C1 34 10 u 0 0 22 1 CRF 8 6 1
4E2820C2 34 10 u 0 0 22 2 CRF 8 6 2
4E2820E0 34 10 u 0 0 23 0 CRF 8 7 0
4E2820E1 34 10 u 0 0 23 1 CRF 8 7 1
4E2820E2 34 10 u 0 0 23 2 CRF 8 7 2
4E280420 34 12 u 0 0 1 0 CRF 1 1 0
4E280421 34 12 u 0 0 1 1 CRF 1 1 1
4E280422 34 12 u 0 0 1 2 CRF 1 1 2
4E280423 34 12 u 0 0 1 3 CRF 1 1 3
4E280424 34 12 u 0 0 1 4 CRF 1 1 4
4E280425 34 12 u 0 0 1 5 CRF 1 1 5
4E280440 34 11 u 0 0 12 0 CRF 1 2 0
4E280441 34 11 u 0 0 12 1 CRF 1 2 1
4E280442 34 11 u 0 0 12 2 CRF 1 2 2
4E280443 34 11 u 0 0 12 3 CRF 1 2 3
4E280444 34 11 u 0 0 12 4 CRF 1 2 4
4E280445 34 11 u 0 0 12 5 CRF 1 2 5
4E280460 34 12 u 0 0 2 0 CRF 1 3 0
4E280461 34 12 u 0 0 2 1 CRF 1 3 1
4E280462 34 12 u 0 0 2 2 CRF 1 3 2
4E280463 34 12 u 0 0 2 3 CRF 1 3 3
4E280464 34 12 u 0 0 2 4 CRF 1 3 4
4E280465 34 12 u 0 0 2 5 CRF 1 3 5
4E280480 34 11 u 0 0 13 0 CRF 1 4 0
4E280481 34 11 u 0 0 13 1 CRF 1 4 1
4E280482 34 11 u 0 0 13 2 CRF 1 4 2
4E280483 34 11 u 0 0 13 3 CRF 1 4 3
4E280484 34 11 u 0 0 13 4 CRF 1 4 4
4E280485 34 11 u 0 0 13 5 CRF 1 4 5
4E2804A0 34 12 u 0 0 3 0 CRF 1 5 0
4E2804A1 34 12 u 0 0 3 1 CRF 1 5 1
4E2804A2 34 12 u 0 0 3 2 CRF 1 5 2
4E2804A3 34 12 u 0 0 3 3 CRF 1 5 3
4E2804A4 34 12 u 0 0 3 4 CRF 1 5 4
4E2804A5 34 12 u 0 0 3 5 CRF 1 5 5
4E2804C0 34 11 u 0 0 14 0 CRF 1 6 0
4E2804C1 34 11 u 0 0 14 1 CRF 1 6 1
4E2804C2 34 11 u 0 0 14 2 CRF 1 6 2
4E2804C3 34 11 u 0 0 14 3 CRF 1 6 3
4E2804C4 34 11 u 0 0 14 4 CRF 1 6 4
4E2804C5 34 11 u 0 0 14 5 CRF 1 6 5
4E2804E0 34 12 u 0 0 4 0 CRF 1 7 0
4E2804E1 34 12 u 0 0 4 1 CRF 1 7 1
4E2804E2 34 12 u 0 0 4 2 CRF 1 7 2
4E2804E3 34 12 u 0 0 4 3 CRF 1 7 3
4E2804E4 34 12 u 0 0 4 4 CRF 1 7 4
4E2804E5 34 12 u 0 0 4 5 CRF 1 7 5
4E280500 34 12 u 0 0 5 0 CRF 1 8 0
4E280501 34 12 u 0 0 5 1 CRF 1 8 1
4E280502 34 12 u 0 0 5 2 CRF 1 8 2
4E280503 34 12 u 0 0 5 3 CRF 1 8 3
4E280504 34 12 u 0 0 5 4 CRF 1 8 4
4E280505 34 12 u 0 0 5 5 CRF 1 8 5
4E280820 34 12 u 0 0 6 0 CRF 2 1 0
4E280821 34 12 u 0 0 6 1 CRF 2 1 1
4E280822 34 12 u 0 0 6 2 CRF 2 1 2
4E280823 34 12 u 0 0 6 3 CRF 2 1 3
4E280824 34 12 u 0 0 6 4 CRF 2 1 4
4E280825 34 12 u 0 0 6 5 CRF 2 1 5
4E280840 34 12 u 0 0 7 0 CRF 2 2 0
4E280841 34 12 u 0 0 7 1 CRF 2 2 1
4E280842 34 12 u 0 0 7 2 CRF 2 2 2
4E280843 34 12 u 0 0 7 3 CRF 2 2 3
4E280844 34 12 u 0 0 7 4 CRF 2 2 4
4E280845 34 12 u 0 0 7 5 CRF 2 2 5
4E280860 34 12 u 0 0 8 0 CRF 2 3 0
4E280861 34 12 u 0 0 8 1 CRF 2 3 1
4E280862 34 12 u 0 0 8 2 CRF 2 3 2
4E280863 34 12 u 0 0 8 3 CRF 2 3 3
4E280864 34 12 u 0 0 8 4 CRF 2 3 4
4E280865 34 12 u 0 0 8 5 CRF 2 3 5
4E280880 34 11 u 0 0 15 0 CRF 2 4 0
4E280881 34 11 u 0 0 15 1 CRF 2 4 1
4E280882 34 11 u 0 0 15 2 CRF 2 4 2
4E280883 34 11 u 0 0 15 3 CRF 2 4 3
4E280884 34 11 u 0 0 15 4 CRF 2 4 4
4E280885 34 11 u 0 0 15 5 CRF 2 4 5
4E2808A0 34 11 u 0 0 16 0 CRF 2 5 0
4E2808A1 34 11 u 0 0 16 1 CRF 2 5 1
4E2808A2 34 11 u 0 0 16 2 CRF 2 5 2
4E2808A3 34 11 u 0 0 16 3 CRF 2 5 3
4E2808A4 34 11 u 0 0 16 4 CRF 2 5 4
4E2808A5 34 11 u 0 0 16 5 CRF 2 5 5
4E2808C0 34 12 u 0 0 9 0 CRF 2 6 0
4E2808C1 34 12 u 0 0 9 1 CRF 2 6 1
4E2808C2 34 12 u 0 0 9 2 CRF 2 6 2
4E2808C3 34 12 u 0 0 9 3 CRF 2 6 3
4E2808C4 34 12 u 0 0 9 4 CRF 2 6 4
4E2808C5 34 12 u 0 0 9 5 CRF 2 6 5
4E2808E0 34 11 u 0 0 17 0 CRF 2 7 0
4E2808E1 34 11 u 0 0 17 1 CRF 2 7 1
4E2808E2 34 11 u 0 0 17 2 CRF 2 7 2
4E2808E3 34 11 u 0 0 17 3 CRF 2 7 3
4E2808E4 34 11 u 0 0 17 4 CRF 2 7 4
4E2808E5 34 11 u 0 0 17 5 CRF 2 7 5
4E280900 34 12 u 0 0 10 0 CRF 2 8 0
4E280901 34 12 u 0 0 10 1 CRF 2 8 1
4E280902 34 12 u 0 0 10 2 CRF 2 8 2
4E280903 34 12 u 0 0 10 3 CRF 2 8 3
4E280904 34 12 u 0 0 10 4 CRF 2 8 4
4E280905 34 12 u 0 0 10 5 CRF 2 8 5
4E280C20 34 12 u 0 0 13 0 CRF 3 1 0
4E280C21 34 12 u 0 0 13 1 CRF 3 1 1
4E280C22 34 12 u 0 0 13 2 CRF 3 1 2
4E280C23 34 12 u 0 0 13 3 CRF 3 1 3
4E280C24 34 12 u 0 0 13 4 CRF 3 1 4
4E280C25 34 12 u 0 0 13 5 CRF 3 1 5
4E280C40 34 11 u 0 0 18 0 CRF 3 2 0
4E280C41 34 11 u 0 0 18 1 CRF 3 2 1
4E280C42 34 11 u 0 0 18 2 CRF 3 2 2
4E280C43 34 11 u 0 0 18 3 CRF 3 2 3
4E280C44 34 11 u 0 0 18 4 CRF 3 2 4
4E280C45 34 11 u 0 0 18 5 CRF 3 2 5
4E280C60 34 12 u 0 0 14 0 CRF 3 3 0
4E280C61 34 12 u 0 0 14 1 CRF 3 3 1
4E280C62 34 12 u 0 0 14 2 CRF 3 3 2
4E280C63 34 12 u 0 0 14 3 CRF 3 3 3
4E280C64 34 12 u 0 0 14 4 CRF 3 3 4
4E280C65 34 12 u 0 0 14 5 CRF 3 3 5
4E280C80 34 11 u 0 0 19 0 CRF 3 4 0
4E280C81 34 11 u 0 0 19 1 CRF 3 4 1
4E280C82 34 11 u 0 0 19 2 CRF 3 4 2
4E280C83 34 11 u 0 0 19 3 CRF 3 4 3
4E280C84 34 11 u 0 0 19 4 CRF 3 4 4
4E280C85 34 11 u 0 0 19 5 CRF 3 4 5
4E280CA0 34 12 u 0 0 15 0 CRF 3 5 0
4E280CA1 34 12 u 0 0 15 1 CRF 3 5 1
4E280CA2 34 12 u 0 0 15 2 CRF 3 5 2
4E280CA3 34 12 u 0 0 15 3 CRF 3 5 3
4E280CA4 34 12 u 0 0 15 4 CRF 3 5 4
4E280CA5 34 12 u 0 0 15 5 CRF 3 5 5
4E280CC0 34 11 u 0 0 20 0 CRF 3 6 0
4E280CC1 34 11 u 0 0 20 1 CRF 3 6 1
4E280CC2 34 11 u 0 0 20 2 CRF 3 6 2
4E280CC3 34 11 u 0 0 20 3 CRF 3 6 3
4E280CC4 34 11 u 0 0 20 4 CRF 3 6 4
4E280CC5 34 11 u 0 0 20 5 CRF 3 6 5
4E280CE0 34 12 u 0 0 16 0 CRF 3 7 0
4E280CE1 34 12 u 0 0 16 1 CRF 3 7 1
4E280CE2 34 12 u 0 0 16 2 CRF 3 7 2
4E280CE3 34 12 u 0 0 16 3 CRF 3 7 3
4E280CE4 34 12 u 0 0 16 4 CRF 3 7 4
4E280CE5 34 12 u 0 0 16 5 CRF 3 7 5
4E280D00 34 12 u 0 0 17 0 CRF 3 8 0
4E280D01 34 12 u 0 0 17 1 CRF 3 8 1
4E280D02 34 12 u 0 0 17 2 CRF 3 8 2
4E280D03 34 12 u 0 0 17 3 CRF 3 8 3
4E280D04 34 12 u 0 0 17 4 CRF 3 8 4
4E280D05 34 12 u 0 0 17 5 CRF 3 8 5
4E281020 34 12 u 0 0 18 0 CRF 4 1 0
4E281021 34 12 u 0 0 18 1 CRF 4 1 1
4E281022 34 12 u 0 0 18 2 CRF 4 1 2
4E281023 34 12 u 0 0 18 3 CRF 4 1 3
4E281024 34 12 u 0 0 18 4 CRF 4 1 4
4E281025 34 12 u 0 0 18 5 CRF 4 1 5
4E281040 34 12 u 0 0 19 0 CRF 4 2 0
4E281041 34 12 u 0 0 19 1 CRF 4 2 1
4E281042 34 12 u 0 0 19 2 CRF 4 2 2
4E281043 34 12 u 0 0 19 3 CRF 4 2 3
4E281044 34 12 u 0 0 19 4 CRF 4 2 4
4E281045 34 12 u 0 0 19 5 CRF 4 2 5
4E281060 34 12 u 0 0 20 0 CRF 4 3 0
4E281061 34 12 u 0 0 20 1 CRF 4 3 1
4E281062 34 12 u 0 0 20 2 CRF 4 3 2
4E281063 34 12 u 0 0 20 3 CRF 4 3 3
4E281064 34 12 u 0 0 20 4 CRF 4 3 4
4E281065 34 12 u 0 0 20 5 CRF 4 3 5
4E281080 34 11 u 0 0 21 0 CRF 4 4 0
4E281081 34 11 u 0 0 21 1 CRF 4 4 1
4E281082 34 11 u 0 0 21 2 CRF 4 4 2
4E281083 34 11 u 0 0 21 3 CRF 4 4 3
4E281084 34 11 u 0 0 21 4 CRF 4 4 4
4E281085 34 11 u 0 0 21 5 CRF 4 4 5
4E2810A0 34 11 u 0 0 22 0 CRF 4 5 0
4E2810A1 34 11 u 0 0 22 1 CRF 4 5 1
4E2810A2 34 11 u 0 0 22 2 CRF 4 5 2
4E2810A3 34 11 u 0 0 22 3 CRF 4 5 3
4E2810A4 34 11 u 0 0 22 4 CRF 4 5 4
4E2810A5 34 11 u 0 0 22 5 CRF 4 5 5
4E2810C0 34 12 u 0 0 21 0 CRF 4 6 0
4E2810C1 34 12 u 0 0 21 1 CRF 4 6 1
4E2810C2 34 12 u 0 0 21 2 CRF 4 6 2
4E2810C3 34 12 u 0 0 21 3 CRF 4 6 3
4E2810C4 34 12 u 0 0 21 4 CRF 4 6 4
4E2810C5 34 12 u 0 0 21 5 CRF 4 6 5
4E2810E0 34 11 u 0 0 23 0 CRF 4 7 0
4E2810E1 34 11 u 0 0 23 1 CRF 4 7 1
4E2810E2 34 11 u 0 0 23 2 CRF 4 7 2
4E2810E3 34 11 u 0 0 23 3 CRF 4 7 3
4E2810E4 34 11 u 0 0 23 4 CRF 4 7 4
4E2810E5 34 11 u 0 0 23 5 CRF 4 7 5
4E281100 34 12 u 0 0 22 0 CRF 4 8 0
4E281101 34 12 u 0 0 22 1 CRF 4 8 1
4E281102 34 12 u 0 0 22 2 CRF 4 8 2
4E281103 34 12 u 0 0 22 3 CRF 4 8 3
4E281104 34 12 u 0 0 22 4 CRF 4 8 4
4E281105 34 12 u 0 0 22 5 CRF 4 8 5
