#i    cr    uhtr    tb    dcc    spigot    fib/slb    fibch/slbch    subdet    eta    phi    depth
123456X    34    10    u    0    0    14    1    HB    1    63    1
123457X    34    10    u    0    0    0    2    HB    2    63    1
123458X    34    10    u    0    0    13    2    HB    3    63    1
123459X    34    10    u    0    0    12    1    HB    4    63    1
123460X    34    10    u    0    0    14    0    HB    5    63    1
123461X    34    10    u    0    0    0    1    HB    6    63    1
123462X    34    10    u    0    0    13    1    HB    7    63    1
123463X    34    10    u    0    0    12    0    HB    8    63    1
123464X    34    10    u    0    0    14    2    HB    9    63    1
123465X    34    10    u    0    0    0    0    HB    10    63    1
123466X    34    10    u    0    0    13    0    HB    11    63    1
123467X    34    10    u    0    0    12    2    HB    12    63    1
123468X    34    11    u    0    0    3    1    HB    13    63    1
123469X    34    11    u    0    0    2    2    HB    14    63    1
123470X    34    11    u    0    0    3    0    HB    15    63    1
123471X    34    11    u    0    0    2    1    HB    15    63    2
123472X    34    11    u    0    0    3    2    HB    16    63    1
123473X    34    11    u    0    0    2    0    HB    16    63    2
123474X    34    10    u    0    0    17    1    HB    1    64    1
123475X    34    10    u    0    0    1    2    HB    2    64    1
123476X    34    10    u    0    0    16    2    HB    3    64    1
123477X    34    10    u    0    0    15    1    HB    4    64    1
123478X    34    10    u    0    0    17    0    HB    5    64    1
123479X    34    10    u    0    0    1    1    HB    6    64    1
123480X    34    10    u    0    0    16    1    HB    7    64    1
123481X    34    10    u    0    0    15    0    HB    8    64    1
123482X    34    10    u    0    0    17    2    HB    9    64    1
123483X    34    10    u    0    0    1    0    HB    10    64    1
123484X    34    10    u    0    0    16    0    HB    11    64    1
123485X    34    10    u    0    0    15    2    HB    12    64    1
123486X    34    11    u    0    0    5    1    HB    13    64    1
123487X    34    11    u    0    0    4    2    HB    14    64    1
123488X    34    11    u    0    0    5    0    HB    15    64    1
123489X    34    11    u    0    0    4    1    HB    15    64    2
123490X    34    11    u    0    0    5    2    HB    16    64    1
123491X    34    11    u    0    0    4    0    HB    16    64    2
123492X    34    10    u    0    0    20    1    HB    1    65    1
123493X    34    10    u    0    0    2    2    HB    2    65    1
123494X    34    10    u    0    0    19    2    HB    3    65    1
123495X    34    10    u    0    0    18    1    HB    4    65    1
123496X    34    10    u    0    0    20    0    HB    5    65    1
123497X    34    10    u    0    0    2    1    HB    6    65    1
123498X    34    10    u    0    0    19    1    HB    7    65    1
123499X    34    10    u    0    0    18    0    HB    8    65    1
123500X    34    10    u    0    0    20    2    HB    9    65    1
123501X    34    10    u    0    0    2    0    HB    10    65    1
123502X    34    10    u    0    0    19    0    HB    11    65    1
123503X    34    10    u    0    0    18    2    HB    12    65    1
123504X    34    11    u    0    0    7    1    HB    13    65    1
123505X    34    11    u    0    0    6    2    HB    14    65    1
123506X    34    11    u    0    0    7    0    HB    15    65    1
123507X    34    11    u    0    0    6    1    HB    15    65    2
123508X    34    11    u    0    0    7    2    HB    16    65    1
123509X    34    11    u    0    0    6    0    HB    16    65    2
123510X    34    10    u    0    0    23    1    HB    1    66    1
123511X    34    10    u    0    0    3    2    HB    2    66    1
123512X    34    10    u    0    0    22    2    HB    3    66    1
123513X    34    10    u    0    0    21    1    HB    4    66    1
123514X    34    10    u    0    0    23    0    HB    5    66    1
123515X    34    10    u    0    0    3    1    HB    6    66    1
123516X    34    10    u    0    0    22    1    HB    7    66    1
123517X    34    10    u    0    0    21    0    HB    8    66    1
123518X    34    10    u    0    0    23    2    HB    9    66    1
123519X    34    10    u    0    0    3    0    HB    10    66    1
123520X    34    10    u    0    0    22    0    HB    11    66    1
123521X    34    10    u    0    0    21    2    HB    12    66    1
123522X    34    11    u    0    0    9    1    HB    13    66    1
123523X    34    11    u    0    0    8    2    HB    14    66    1
123524X    34    11    u    0    0    9    0    HB    15    66    1
123525X    34    11    u    0    0    8    1    HB    15    66    2
123526X    34    11    u    0    0    9    2    HB    16    66    1
123527X    34    11    u    0    0    8    0    HB    16    66    2
123528X    34    11    u    0    0    12    4    ngHE    16    63    3
123529X    34    11    u    0    0    12    3    ngHE    17    63    2
123530X    34    11    u    0    0    14    2    ngHE    17    63    3
123531X    34    11    u    0    0    14    4    ngHE    18    63    1
123532X    34    11    u    0    0    12    2    ngHE    18    63    2
123533X    34    11    u    0    0    14    0    ngHE    18    63    3
123534X    34    11    u    0    0    14    5    ngHE    18    63    4
123535X    34    11    u    0    0    14    3    ngHE    18    63    5
123536X    34    12    u    0    0    4    0    ngHE    19    63    1
123537X    34    12    u    0    0    1    0    ngHE    19    63    2
123538X    34    12    u    0    0    2    4    ngHE    19    63    3
123539X    34    12    u    0    0    4    4    ngHE    19    63    4
123540X    34    12    u    0    0    3    0    ngHE    19    63    5
123541X    34    12    u    0    0    5    0    ngHE    19    63    6
123542X    34    12    u    0    0    4    1    ngHE    20    63    1
123543X    34    12    u    0    0    5    3    ngHE    20    63    2
123544X    34    12    u    0    0    1    1    ngHE    20    63    3
123545X    34    12    u    0    0    5    5    ngHE    20    63    4
123546X    34    12    u    0    0    3    3    ngHE    20    63    5
123547X    34    12    u    0    0    3    2    ngHE    20    63    6
123548X    34    12    u    0    0    7    2    ngHE    21    63    1
123549X    34    12    u    0    0    6    2    ngHE    21    63    2
123550X    34    12    u    0    0    10    2    ngHE    21    63    3
123551X    34    12    u    0    0    6    4    ngHE    21    63    4
123552X    34    12    u    0    0    9    0    ngHE    21    63    5
123553X    34    12    u    0    0    8    3    ngHE    21    63    6
123554X    34    12    u    0    0    4    2    ngHE    22    63    1
123555X    34    12    u    0    0    5    2    ngHE    22    63    2
123556X    34    12    u    0    0    1    2    ngHE    22    63    3
123557X    34    12    u    0    0    5    4    ngHE    22    63    4
123558X    34    12    u    0    0    3    4    ngHE    22    63    5
123559X    34    12    u    0    0    3    5    ngHE    22    63    6
123560X    34    12    u    0    0    7    3    ngHE    23    63    1
123561X    34    12    u    0    0    10    4    ngHE    23    63    2
123562X    34    12    u    0    0    10    3    ngHE    23    63    3
123563X    34    12    u    0    0    8    4    ngHE    23    63    4
123564X    34    12    u    0    0    9    1    ngHE    23    63    5
