#Phase-2 Materials Map         
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth
928 36 4 u 0 0 2 0 HE 0 0 8
928 36 4 u 0 0 2 1 HE 0 1 8
928 36 4 u 0 0 2 2 HE 0 2 8
928 36 4 u 0 0 2 3 HE 0 3 8
928 36 4 u 0 0 2 4 HE 0 4 8
928 36 4 u 0 0 2 5 HE 0 5 8
928 36 4 u 0 0 3 0 HE 1 0 8
928 36 4 u 0 0 3 1 HE 1 1 8
928 36 4 u 0 0 3 2 HE 1 2 8
928 36 4 u 0 0 3 3 HE 1 3 8
928 36 4 u 0 0 3 4 HE 1 4 8
928 36 4 u 0 0 3 5 HE 1 5 8
928 36 4 u 0 0 4 0 HE 2 0 8
928 36 4 u 0 0 4 1 HE 2 1 8
928 36 4 u 0 0 4 2 HE 2 2 8
928 36 4 u 0 0 4 3 HE 2 3 8
928 36 4 u 0 0 4 4 HE 2 4 8
928 36 4 u 0 0 4 5 HE 2 5 8
928 36 4 u 0 0 5 0 HE 3 0 8
928 36 4 u 0 0 5 1 HE 3 1 8
928 36 4 u 0 0 5 2 HE 3 2 8
928 36 4 u 0 0 5 3 HE 3 3 8
928 36 4 u 0 0 5 4 HE 3 4 8
928 36 4 u 0 0 5 5 HE 3 5 8
928 36 4 u 0 0 6 0 HE 4 0 8
928 36 4 u 0 0 6 1 HE 4 1 8
928 36 4 u 0 0 6 2 HE 4 2 8
928 36 4 u 0 0 6 3 HE 4 3 8
928 36 4 u 0 0 6 4 HE 4 4 8
928 36 4 u 0 0 6 5 HE 4 5 8
928 36 4 u 0 0 7 0 HE 5 0 8
928 36 4 u 0 0 7 1 HE 5 1 8
928 36 4 u 0 0 7 2 HE 5 2 8
928 36 4 u 0 0 7 3 HE 5 3 8
928 36 4 u 0 0 7 4 HE 5 4 8
928 36 4 u 0 0 7 5 HE 5 5 8
928 36 4 u 0 0 8 0 HE 6 0 8
928 36 4 u 0 0 8 1 HE 6 1 8
928 36 4 u 0 0 8 2 HE 6 2 8
928 36 4 u 0 0 8 3 HE 6 3 8
928 36 4 u 0 0 8 4 HE 6 4 8
928 36 4 u 0 0 8 5 HE 6 5 8
928 36 4 u 0 0 9 0 HE 7 0 8
928 36 4 u 0 0 9 1 HE 7 1 8
928 36 4 u 0 0 9 2 HE 7 2 8
928 36 4 u 0 0 9 3 HE 7 3 8
928 36 4 u 0 0 9 4 HE 7 4 8
928 36 4 u 0 0 9 5 HE 7 5 8
928 36 4 u 0 0 14 0 HE 12 0 8
928 36 4 u 0 0 14 1 HE 12 1 8
928 36 4 u 0 0 14 2 HE 12 2 8
928 36 4 u 0 0 14 3 HE 12 3 8
928 36 4 u 0 0 14 4 HE 12 4 8
928 36 4 u 0 0 14 5 HE 12 5 8
928 36 4 u 0 0 15 0 HE 13 0 8
928 36 4 u 0 0 15 1 HE 13 1 8
928 36 4 u 0 0 15 2 HE 13 2 8
928 36 4 u 0 0 15 3 HE 13 3 8
928 36 4 u 0 0 15 4 HE 13 4 8
928 36 4 u 0 0 15 5 HE 13 5 8
928 36 4 u 0 0 16 0 HE 14 0 8
928 36 4 u 0 0 16 1 HE 14 1 8
928 36 4 u 0 0 16 2 HE 14 2 8
928 36 4 u 0 0 16 3 HE 14 3 8
928 36 4 u 0 0 16 4 HE 14 4 8
928 36 4 u 0 0 16 5 HE 14 5 8
928 36 4 u 0 0 17 0 HE 15 0 8
928 36 4 u 0 0 17 1 HE 15 1 8
928 36 4 u 0 0 17 2 HE 15 2 8
928 36 4 u 0 0 17 3 HE 15 3 8
928 36 4 u 0 0 17 4 HE 15 4 8
928 36 4 u 0 0 17 5 HE 15 5 8
928 36 4 u 0 0 18 0 HE 16 0 8
928 36 4 u 0 0 18 1 HE 16 1 8
928 36 4 u 0 0 18 2 HE 16 2 8
928 36 4 u 0 0 18 3 HE 16 3 8
928 36 4 u 0 0 18 4 HE 16 4 8
928 36 4 u 0 0 18 5 HE 16 5 8
928 36 4 u 0 0 19 0 HE 17 0 8
928 36 4 u 0 0 19 1 HE 17 1 8
928 36 4 u 0 0 19 2 HE 17 2 8
928 36 4 u 0 0 19 3 HE 17 3 8
928 36 4 u 0 0 19 4 HE 17 4 8
928 36 4 u 0 0 19 5 HE 17 5 8
928 36 4 u 0 0 20 0 HE 18 0 8
928 36 4 u 0 0 20 1 HE 18 1 8
928 36 4 u 0 0 20 2 HE 18 2 8
928 36 4 u 0 0 20 3 HE 18 3 8
928 36 4 u 0 0 20 4 HE 18 4 8
928 36 4 u 0 0 20 5 HE 18 5 8
928 36 4 u 0 0 21 0 HE 19 0 8
928 36 4 u 0 0 21 1 HE 19 1 8
928 36 4 u 0 0 21 2 HE 19 2 8
928 36 4 u 0 0 21 3 HE 19 3 8
928 36 4 u 0 0 21 4 HE 19 4 8
928 36 4 u 0 0 21 5 HE 19 5 8
